"IU_ID","IU_ID_Full","IU_CODE"
2215,"AGO02215","AGO0026202215"
2222,"AGO02222","AGO0026202222"
2168,"AGO02168","AGO0026202168"
2176,"AGO02176","AGO0026302176"
2177,"AGO02177","AGO0026302177"
2220,"AGO02220","AGO0026302220"
2179,"AGO02179","AGO0026302179"
2181,"AGO02181","AGO0026302181"
2180,"AGO02180","AGO0026302180"
2183,"AGO02183","AGO0026302183"
2182,"AGO02182","AGO0026302182"
2184,"AGO02184","AGO0026302184"
2185,"AGO02185","AGO0026402185"
2186,"AGO02186","AGO0026402186"
2187,"AGO02187","AGO0026402187"
2188,"AGO02188","AGO0026402188"
2189,"AGO02189","AGO0026402189"
2195,"AGO02195","AGO0026502195"
2190,"AGO02190","AGO0026502190"
2191,"AGO02191","AGO0026502191"
2192,"AGO02192","AGO0026502192"
2193,"AGO02193","AGO0026502193"
2194,"AGO02194","AGO0026502194"
2198,"AGO02198","AGO0026502198"
2199,"AGO02199","AGO0026502199"
2200,"AGO02200","AGO0026502200"
2201,"AGO02201","AGO0026502201"
2202,"AGO02202","AGO0026502202"
2196,"AGO02196","AGO0026502196"
2197,"AGO02197","AGO0026502197"
2203,"AGO02203","AGO0026502203"
2204,"AGO02204","AGO0026502204"
2205,"AGO02205","AGO0026502205"
2206,"AGO02206","AGO0026602206"
2207,"AGO02207","AGO0026602207"
2209,"AGO02209","AGO0026602209"
2208,"AGO02208","AGO0026602208"
2210,"AGO02210","AGO0026602210"
2211,"AGO02211","AGO0026602211"
2216,"AGO02216","AGO0025002216"
2214,"AGO02214","AGO0025802214"
2143,"AGO02143","AGO0025902143"
2223,"AGO02223","AGO0025902223"
2149,"AGO02149","AGO0026002149"
2141,"AGO02141","AGO0025902141"
3288,"BEN03288","BEN0037803288"
3219,"BEN03219","BEN0036803219"
3226,"BEN03226","BEN0036803226"
3263,"BEN03263","BEN0037503263"
3216,"BEN03216","BEN0036703216"
3236,"BEN03236","BEN0036703236"
3259,"BEN03259","BEN0037403259"
3286,"BEN03286","BEN0037803286"
3218,"BEN03218","BEN0036803218"
3283,"BEN03283","BEN0037803283"
3289,"BEN03289","BEN0037803289"
3217,"BEN03217","BEN0036803217"
3274,"BEN03274","BEN0037703274"
3245,"BEN03245","BEN0037103245"
3239,"BEN03239","BEN0037003239"
3264,"BEN03264","BEN0037503264"
3287,"BEN03287","BEN0037803287"
3220,"BEN03220","BEN0036803220"
3269,"BEN03269","BEN0037603269"
3284,"BEN03284","BEN0037803284"
3278,"BEN03278","BEN0037703278"
3234,"BEN03234","BEN0036903234"
3249,"BEN03249","BEN0037103249"
3214,"BEN03214","BEN0036703214"
3268,"BEN03268","BEN0037603268"
3244,"BEN03244","BEN0037103244"
3221,"BEN03221","BEN0036803221"
3262,"BEN03262","BEN0037503262"
3272,"BEN03272","BEN0037603272"
3277,"BEN03277","BEN0037603277"
3243,"BEN03243","BEN0037003243"
3213,"BEN03213","BEN0036703213"
3215,"BEN03215","BEN0036703215"
3231,"BEN03231","BEN0036903231"
3265,"BEN03265","BEN0037303265"
3246,"BEN03246","BEN0037103246"
3270,"BEN03270","BEN0037603270"
3282,"BEN03282","BEN0037803282"
3281,"BEN03281","BEN0037803281"
3230,"BEN03230","BEN0036903230"
3248,"BEN03248","BEN0037103248"
3222,"BEN03222","BEN0036803222"
3224,"BEN03224","BEN0036803224"
3235,"BEN03235","BEN0037003235"
3241,"BEN03241","BEN0037003241"
3251,"BEN03251","BEN0037203251"
3255,"BEN03255","BEN0037303255"
3250,"BEN03250","BEN0037203250"
3232,"BEN03232","BEN0036903232"
3229,"BEN03229","BEN0036903229"
3271,"BEN03271","BEN0037603271"
3252,"BEN03252","BEN0037203252"
3225,"BEN03225","BEN0036803225"
3279,"BEN03279","BEN0037703279"
3257,"BEN03257","BEN0037303257"
3254,"BEN03254","BEN0037303254"
3212,"BEN03212","BEN0036703212"
3285,"BEN03285","BEN0037803285"
3227,"BEN03227","BEN0036903227"
3242,"BEN03242","BEN0037003242"
3273,"BEN03273","BEN0037603273"
3267,"BEN03267","BEN0037603267"
3228,"BEN03228","BEN0036903228"
3223,"BEN03223","BEN0037203223"
3237,"BEN03237","BEN0037003237"
3258,"BEN03258","BEN0037303258"
3276,"BEN03276","BEN0037703276"
3240,"BEN03240","BEN0037003240"
3275,"BEN03275","BEN0037603275"
3266,"BEN03266","BEN0037503266"
3280,"BEN03280","BEN0037703280"
3256,"BEN03256","BEN0037303256"
3261,"BEN03261","BEN0037503261"
3238,"BEN03238","BEN0037003238"
3233,"BEN03233","BEN0036903233"
3247,"BEN03247","BEN0037103247"
3260,"BEN03260","BEN0037503260"
4290,"BWA04290","BWA0048804290"
4291,"BWA04291","BWA0048804291"
4313,"BWA04313","BWA0048804313"
4318,"BWA04318","BWA0048804318"
4304,"BWA04304","BWA0048804304"
4302,"BWA04302","BWA0048804302"
4307,"BWA04307","BWA0048904307"
4314,"BWA04314","BWA0048904314"
4297,"BWA04297","BWA0048904297"
4299,"BWA04299","BWA0048904299"
4308,"BWA04308","BWA0048904308"
4303,"BWA04303","BWA0048804303"
4305,"BWA04305","BWA0048804305"
4293,"BWA04293","BWA0048804293"
4309,"BWA04309","BWA0048804309"
4292,"BWA04292","BWA0048904292"
4306,"BWA04306","BWA0048804306"
4300,"BWA04300","BWA0048904300"
4298,"BWA04298","BWA0048904298"
4311,"BWA04311","BWA0048904311"
4301,"BWA04301","BWA0048904301"
4310,"BWA04310","BWA0048904310"
4317,"BWA04317","BWA0048904317"
4295,"BWA04295","BWA0048804295"
4319,"BWA04319","BWA0048804319"
4315,"BWA04315","BWA0048904315"
4316,"BWA04316","BWA0048904316"
6393,"BDI06393","BDI0070706393"
6419,"BDI06419","BDI0071706419"
6395,"BDI06395","BDI0070806395"
6387,"BDI06387","BDI0070506387"
6386,"BDI06386","BDI0070506386"
6382,"BDI06382","BDI0070306382"
6380,"BDI06380","BDI0070306380"
6381,"BDI06381","BDI0070306381"
6377,"BDI06377","BDI0070206377"
6406,"BDI06406","BDI0071206406"
6379,"BDI06379","BDI0070206379"
6378,"BDI06378","BDI0070206378"
6405,"BDI06405","BDI0071206405"
6410,"BDI06410","BDI0071406410"
6411,"BDI06411","BDI0071406411"
6390,"BDI06390","BDI0070706390"
6376,"BDI06376","BDI0070106376"
6391,"BDI06391","BDI0070706391"
