"IUID","MDACov_2000","MDACov_2001","MDACov_2002","MDACov_2003","MDACov_2004","MDACov_2005","MDACov_2006","MDACov_2007","MDACov_2008","MDACov_2009","MDACov_2010","MDACov_2011","MDACov_2012","MDACov_2013","MDACov_2014","MDACov_2015","MDACov_2016","MDACov_2017","MDACov_2018","MDACov_2019","MDACov_2020","MDACov_2021","MDACov_2022"
"BEN03246","00x.xxx","00x.xxx","00x.xxx","00x.xxx","65A.xIA","65A.xIA","65A.xIA","65A.xIA","65A.xIA","65A.xIA","65A.xIA","65A.xIA","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx"
"BEN03270","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","65A.xIA","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","15A.xIA","65A.xIA","15A.xIA","65A.xIA","65A.xIA","00x.xxx","00x.xxx","00x.xxx","00x.xxx"
"BEN03282","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","65A.xIA","65A.xIA","65A.xIA","65A.xIA","65A.xIA","65A.xIA","15A.xIA","00x.xxx","15A.xIA","15A.xIA","15A.xIA","65A.xIA","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx"
"BEN03281","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","65A.xIA","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","15A.xIA","15A.xIA","15A.xIA","65A.xIA","65A.xIA","00x.xxx","00x.xxx","00x.xxx","00x.xxx"
"BEN03230","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","65A.xIA","65A.xIA","00x.xxx","15A.xIA","15A.xIA","15A.xIA","65A.xIA","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx"
"BEN03248","00x.xxx","00x.xxx","00x.xxx","00x.xxx","65A.xIA","65A.xIA","65A.xIA","65A.xIA","65A.xIA","65A.xIA","65A.xIA","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx"
"BEN03222","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx"
"BEN03224","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx"
"BEN03235","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx"
"BEN03241","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx"
