"IUID","Region"
"NGA37046",3
"NGA36986",3
"NGA36990",3
"NGA36992",3
"NGA36994",3
"NGA36997",3
"NGA36841",3
"NGA36849",3
"NGA36853",3
"NGA36854",3
"NGA37050",3
"NGA36489",3
"NGA36490",3
"NGA36495",3
"NGA36498",3
"NGA36564",3
"NGA36565",3
"NGA36567",3
"NGA36690",3
"NGA36691",3
"NGA36692",3
"NGA36693",3
"NGA36696",3
"NGA36697",3
"NGA36699",3
"NGA36700",3
"NGA36701",3
"NGA37021",3
"NGA37109",3
"NGA37110",3
"NGA36619",3
"NGA36620",3
"NGA36621",3
"NGA36622",3
"NGA36623",3
"NGA36624",3
"NGA36625",3
"NGA36626",3
"NGA36627",3
"NGA36628",3
"NGA36629",3
"NGA36630",3
"NGA36631",3
"NGA36632",3
"NGA36337",3
"NGA36338",3
"NGA36339",3
"NGA36340",3
"NGA36346",3
"NGA36347",3
"NGA36348",3
"NGA36349",3
"NGA36413",3
"NGA36414",3
"NGA36415",3
"NGA36374",3
"NGA36376",3
"NGA36378",3
"NGA36380",3
"NGA36382",3
"NGA36675",3
"NGA36676",3
"NGA36677",3
"NGA36678",3
"NGA36679",3
"NGA36680",3
"NGA36681",3
"NGA36682",3
"NGA36683",3
"NGA36685",3
"NGA36686",3
"NGA36687",3
"NGA36891",3
"NGA36902",3
"NGA36903",3
"NGA36904",3
"NGA36416",3
"NGA36417",3
"NGA36418",3
"NGA36419",3
"NGA36547",3
"NGA36549",3
"NGA36551",3
"NGA36552",3
"NGA36554",3
"NGA36555",3
"NGA36557",3
"NGA36875",3
"NGA36876",3
"NGA36878",3
"NGA36879",3
"NGA36880",3
"NGA36928",3
"NGA36929",3
"NGA36930",3
"NGA36931",3
"NGA36355",3
"NGA36356",3
"NGA36357",3
"NGA36358",3
"NGA36359",3
"NGA36361",3
"NGA36362",3
"NGA36364",3
"NGA36365",3
"NGA36366",3
"NGA36367",3
"NGA36368",3
"NGA36369",3
"NGA36370",3
"NGA36371",3
"NGA36372",3
"NGA36387",3
"NGA36388",3
"NGA36412",3
"NGA36420",3
"NGA36421",3
"NGA36422",3
"NGA36423",3
"NGA36424",3
"NGA36425",3
"NGA36426",3
"NGA36427",3
"NGA36429",3
"NGA36431",3
"NGA36434",3
"NGA36435",3
"NGA36436",3
"NGA36440",3
"NGA36441",3
"NGA37022",3
"NGA37023",3
"NGA37024",3
"NGA37025",3
"NGA37028",3
"NGA37030",3
"NGA37031",3
"NGA37034",3
"NGA37035",3
"NGA37036",3
"NGA37037",3
"NGA37051",3
"NGA36449",3
"NGA36450",3
"NGA36451",3
"NGA36452",3
"NGA36453",3
"NGA36454",3
"NGA36455",3
"NGA36457",3
"NGA36459",3
"NGA36460",3
"NGA36461",3
"NGA36770",3
"NGA36464",3
"NGA36465",3
"NGA36466",3
"NGA36467",3
"NGA36468",3
"NGA36470",3
"NGA36471",3
"NGA36473",3
"NGA36474",3
"NGA36475",3
"NGA36478",3
"NGA36504",3
"NGA36522",3
"NGA36523",3
"NGA36524",3
"NGA36525",3
"NGA36527",3
"NGA36529",3
"NGA36530",3
"NGA36531",3
"NGA36532",3
"NGA36533",3
"NGA36973",3
"NGA36977",3
"NGA36979",3
"NGA36980",3
"NGA36536",3
"NGA36538",3
"NGA36540",3
"NGA36543",3
"NGA36545",3
"NGA36546",3
"NGA36558",3
"NGA36559",3
"NGA36561",3
"NGA36614",3
"NGA36615",3
"NGA36636",3
"NGA36637",3
"NGA36638",3
"NGA36639",3
"NGA36640",3
"NGA36641",3
"NGA36642",3
"NGA36643",3
"NGA36644",3
"NGA36645",3
"NGA36646",3
"NGA36647",3
"NGA36649",3
"NGA36650",3
"NGA36653",3
"NGA36654",3
"NGA36648",3
"NGA36656",3
"NGA36657",3
"NGA36659",3
"NGA36658",3
"NGA36660",3
"NGA36661",3
"NGA36662",3
"NGA36663",3
"NGA36664",3
"NGA36665",3
"NGA36666",3
"NGA36667",3
"NGA36668",3
"NGA36669",3
"NGA36670",3
"NGA36671",3
"NGA36672",3
"NGA36673",3
"NGA36674",3
"NGA36688",3
"NGA36689",3
"NGA36702",3
"NGA36703",3
"NGA36704",3
"NGA36706",3
"NGA36707",3
"NGA36708",3
"NGA36709",3
"NGA36710",3
"NGA36711",3
"NGA36712",3
"NGA36713",3
"NGA36715",3
"NGA36714",3
"NGA36716",3
"NGA36717",3
"NGA36718",3
"NGA36719",3
"NGA36720",3
"NGA36764",3
"NGA36765",3
"NGA36767",3
"NGA36768",3
"NGA36769",3
"NGA36726",3
"NGA36727",3
